,MSA,msa name,cluster_number
355,46540,"Utica-Rome, NY (Metropolitan Statistical Area)",0
356,46660,"Valdosta, GA (Metropolitan Statistical Area)",0
357,46700,"Vallejo, CA (Metropolitan Statistical Area)",0
358,47020,"Victoria, TX (Metropolitan Statistical Area)",0
359,47220,"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",0
360,47260,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)",0
361,47300,"Visalia, CA (Metropolitan Statistical Area)",0
362,47380,"Waco, TX (Metropolitan Statistical Area)",0
363,47460,"Walla Walla, WA (Metropolitan Statistical Area)",0
364,47580,"Warner Robins, GA (Metropolitan Statistical Area)",0
365,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",1
366,47940,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",0
367,48060,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",0
368,48140,"Wausau-Weston, WI (Metropolitan Statistical Area)",0
369,48260,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",0
370,48300,"Wenatchee, WA (Metropolitan Statistical Area)",0
371,48540,"Wheeling, WV-OH (Metropolitan Statistical Area)",0
372,48620,"Wichita, KS (Metropolitan Statistical Area)",0
373,48660,"Wichita Falls, TX (Metropolitan Statistical Area)",0
374,48700,"Williamsport, PA (Metropolitan Statistical Area)",0
375,48900,"Wilmington, NC (Metropolitan Statistical Area)",0
376,49020,"Winchester, VA-WV (Metropolitan Statistical Area)",0
377,49180,"Winston-Salem, NC (Metropolitan Statistical Area)",0
378,49340,"Worcester, MA-CT (Metropolitan Statistical Area)",0
379,49420,"Yakima, WA (Metropolitan Statistical Area)",0
380,49620,"York-Hanover, PA (Metropolitan Statistical Area)",0
381,49660,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",0
382,49700,"Yuba City, CA (Metropolitan Statistical Area)",0
383,49740,"Yuma, AZ (Metropolitan Statistical Area)",0
